category,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label
2a,0.12848244583500334,0.0005529516999696097,0.0006967133863141917,0.014279955459244466,0.006118275437123671,0.002103119931756689,0.002327313317681809,0.0013581630067389199,0.42848439583333336,0.605474625,0.12202290416666668,0.500988125,0.5031247999999998,0.05883913125,0.9827315416666664,1.203045625,0.31866722500000005,0.3294177041666667,0.5232862083333335,0.3882648333333334,0.4146519,0.7122550625,1.7310677291666667,0.3103276458333333,1.107882354166667,0.10366022083333333,0.16054219374999998,0.31722295833333325,0.5724342083333334,0.4311949791666667,0.4252364791666667,0.9983499375000005,0.6608099374999998,0.01683205625000001,0.4373517083333334,0.4270244791666666,0.4465715624999999,0.4778356041666669,0.29188103125000003,0.6061216583333334,0.4961248541666667,0.5551171666666667,1.4116767916666664,1.0161606041666664,0.5107459166666667,1.1408023333333337,0.7922567708333337,0.4684725833333334,0.5424649791666667,0.5022358958333334,0.4854551458333334,1.574415395833334,1.0163499791666664,0.6692948333333334,0.9727814375,0.8641032291666666,0.7143783749999999,0.9912497916666666,1.062160875,0.6966156666666664,0.904204791666667,0.2881436875,1.2881972708333331,0
2a,0.19979156866880846,0.0005529516999695989,0.0006967133863141835,0.014279955459244466,0.00611827543712369,0.002103119931756682,0.0023273133176818107,0.0013581630067389385,0.2511334177801153,0.605474625,0.12202290416666668,0.500988125,0.5031247999999998,0.05883913124999999,0.9827315416666664,1.203045625,0.31866722500000005,0.3294177041666667,0.5232862083333333,0.3882648333333334,0.4146519,0.7122550625,1.7310677291666667,0.3103276458333332,1.107882354166667,0.10366022083333333,0.16054219374999998,0.31722295833333325,0.5724342083333334,0.4311949791666667,0.4252364791666667,0.9983499375000005,0.6608099374999998,0.01683205625000001,0.4373517083333334,0.4270244791666666,0.4465715625,0.4778356041666668,0.29188103125000003,0.6061216583333334,0.4961248541666667,0.5551171666666667,1.4116767916666664,1.0161606041666664,0.5107459166666667,1.1408023333333337,0.7922567708333337,0.4684725833333334,0.5424649791666667,0.5022358958333334,0.4854551458333334,1.574415395833334,1.0163499791666666,0.6692948333333334,0.9727814375,0.8641032291666666,0.7143783749999999,0.9912497916666666,1.062160875,0.6966156666666664,0.904204791666667,0.2881436875,1.2881972708333331,1
2a,0.14985756606327125,0.00046337753705833515,0.0007109949806629175,0.01293401356193636,0.008407263979004034,0.002138966868233109,0.002881499496306663,0.0016462951416209833,0.311341625,0.5970229583333333,0.12438345624999997,1.0554562291666667,0.3083748645833333,0.022899122916666664,0.8801207500000001,1.0406420625,0.4067569354166667,0.3492968749999999,0.4764658333333334,0.21990660416666666,0.4493697208333333,0.8340433749999999,0.9205931666666668,0.2481502916666665,1.8711379791666671,0.22385440625,0.26531340208333337,0.3279369999999999,0.6358819229166667,0.4821748125,0.54526375,0.8331855624999999,0.6596539354166667,0.06867582708333334,0.4833156666666667,0.3949486666666668,0.4362773958333331,0.37309416666666667,0.5027422354166666,0.2565049416666667,0.5935015833333334,0.6256570625,1.2660552500000002,1.3771802708333336,0.3355070791666667,1.1793203541666666,0.7067676458333332,0.4039511875000001,0.6697833125,0.54465825,0.4203095208333333,1.186349708333334,1.0213301041666665,1.0548662708333338,0.9516126249999998,1.083101791666667,0.6257274791666667,1.1277152500000005,1.0072413749999998,1.0035340416666667,1.475968625,0.16196654166666666,0.6663974583333333,0
2a,0.20401519336189866,0.00046337753705833076,0.0007109949806629324,0.01293401356193638,0.00840726397900403,0.002138966868233116,0.002881499496306656,0.0016462951416209713,0.1824763915414033,0.5970229583333332,0.12438345624999997,1.0554562291666667,0.3083748645833333,0.022899122916666664,0.8801207500000001,1.0406420625,0.4067569354166667,0.349296875,0.4764658333333334,0.21990660416666666,0.4493697208333333,0.8340433749999999,0.9205931666666668,0.24815029166666655,1.871137979166667,0.22385440625,0.26531340208333337,0.3279369999999999,0.6358819229166667,0.4821748125,0.54526375,0.8331855624999999,0.6596539354166667,0.06867582708333334,0.4833156666666667,0.3949486666666668,0.4362773958333331,0.37309416666666667,0.5027422354166666,0.2565049416666667,0.5935015833333334,0.6256570625,1.2660552500000002,1.3771802708333336,0.3355070791666667,1.1793203541666666,0.7067676458333332,0.4039511875000001,0.6697833125,0.54465825,0.4203095208333333,1.186349708333334,1.0213301041666665,1.0548662708333338,0.9516126249999998,1.083101791666667,0.6257274791666667,1.1277152500000005,1.0072413749999998,1.0035340416666667,1.475968625,0.16196654166666666,0.6663974583333333,1
2a,0.12329757902044902,0.00046339915197924296,0.0005997843897730695,0.012387523184899286,0.006796505904241424,0.0019381200063906191,0.002555672332416477,0.0017196622714125609,0.4002375208333335,0.8684559999999999,0.3111180333333334,0.8909477500000001,0.4767808750000001,0.03332122083333334,1.0135180833333333,0.8879724166666668,0.35090423125,0.3570164166666667,0.3449195833333333,0.3106299833333333,0.3786398916666669,0.8900685208333332,1.11359375,0.2563842916666668,0.9228745833333334,0.24158597083333325,0.2995525625,0.32799549999999994,0.8056146666666669,0.44887591666666665,0.4251745208333333,0.8577664583333336,0.7661209791666667,0.1306374416666667,0.5543279375,0.4214402916666668,0.4595409791666665,0.3838403333333334,0.41969394375,0.3548756187499999,0.563486625,0.6710929375000001,1.3331065625,1.0588349166666666,0.2948832958333333,1.0810110624999998,0.7196454791666668,0.4395751875,0.3712935208333333,0.5404557708333332,0.3182377708333333,1.3304700208333329,0.9440640833333336,1.0134349375000002,0.9236243541666664,0.9524296041666668,0.6344272708333333,0.8411719583333334,0.907776791666666,1.2488801458333334,1.5022454166666666,0.14194468750000006,0.7890995625000001,0
2a,0.1834256768485303,0.0004633991519792536,0.0005997843897730786,0.01238752318489928,0.006796505904241436,0.001938120006390632,0.002555672332416482,0.0017196622714125552,0.2345780091600148,0.8684559999999999,0.3111180333333334,0.8909477500000001,0.4767808750000001,0.03332122083333334,1.0135180833333333,0.8879724166666668,0.35090423125,0.3570164166666667,0.3449195833333333,0.31062998333333336,0.3786398916666669,0.8900685208333332,1.11359375,0.2563842916666667,0.9228745833333332,0.24158597083333325,0.2995525625,0.32799549999999994,0.8056146666666669,0.44887591666666665,0.4251745208333333,0.8577664583333336,0.7661209791666667,0.1306374416666667,0.5543279375,0.4214402916666668,0.4595409791666665,0.3838403333333334,0.41969394375,0.3548756187499999,0.563486625,0.6710929375000001,1.3331065625,1.0588349166666666,0.2948832958333333,1.0810110624999998,0.7196454791666668,0.4395751875,0.3712935208333333,0.5404557708333332,0.3182377708333333,1.3304700208333329,0.9440640833333336,1.0134349375000002,0.9236243541666664,0.9524296041666668,0.6344272708333333,0.8411719583333334,0.907776791666666,1.2488801458333334,1.5022454166666668,0.14194468750000006,0.7890995625000002,1
2a,0.12608096871121274,0.0009694385965668028,0.0007581326800826168,0.01736330674112969,0.0074479974553616456,0.0024178752272572324,0.002874734690291366,0.0020277927160006442,0.3473045,0.6955052291666668,0.3495892499999999,1.7712820000000002,0.2820542708333334,0.0847138625,1.9290711250000003,1.9809674583333332,0.4365047625,0.3056648958333333,0.4902065416666666,0.2731147708333333,0.5852742979166669,0.9305011041666664,1.1755083125,0.26195375000000004,1.6373072708333334,0.3081456645833333,0.31834326249999984,0.3262031666666668,0.6942592291666667,0.4171069166666667,0.6965250624999998,0.8103869791666667,0.6546990416666665,0.3855826937499998,0.5571774791666668,0.32668829166666663,0.4862002083333334,0.3707896250000001,1.1254078583333331,0.2890754979166667,0.6692764583333332,0.8401689583333335,1.777747854166667,0.96510575,0.3589806875000001,1.2347798958333334,0.7048332916666666,0.3554333958333333,0.3707991666666666,0.5923066041666668,0.4042730208333334,1.3624469375,0.904487125,1.0721488124999994,0.9011043124999998,0.949727,0.7168444374999998,0.7821341250000001,0.8962941249999999,1.3157544374999997,1.9127343958333332,0.1274522291666667,0.6128364374999999,0
2a,0.17758023997391326,0.0009694385965668043,0.0007581326800826147,0.017363306741129708,0.007447997455361642,0.0024178752272572303,0.002874734690291375,0.0020277927160006373,0.20355412459253175,0.6955052291666668,0.3495892499999999,1.7712820000000002,0.2820542708333333,0.0847138625,1.9290711250000008,1.9809674583333332,0.4365047625,0.3056648958333333,0.4902065416666666,0.2731147708333333,0.5852742979166669,0.9305011041666664,1.1755083125,0.26195375000000004,1.6373072708333334,0.3081456645833333,0.31834326249999984,0.3262031666666668,0.6942592291666667,0.4171069166666667,0.6965250624999998,0.8103869791666667,0.6546990416666665,0.3855826937499998,0.5571774791666667,0.32668829166666663,0.4862002083333332,0.3707896250000001,1.1254078583333331,0.2890754979166667,0.6692764583333332,0.8401689583333334,1.7777478541666665,0.96510575,0.3589806875000001,1.2347798958333334,0.7048332916666666,0.3554333958333333,0.3707991666666666,0.5923066041666666,0.4042730208333334,1.3624469375,0.904487125,1.0721488124999994,0.9011043124999998,0.949727,0.7168444374999998,0.7821341250000001,0.8962941249999999,1.3157544374999997,1.9127343958333332,0.1274522291666667,0.6128364374999999,1
2a,0.1688828663454975,0.0007931030495807611,0.0007503212687071454,0.0254912350090704,0.010184815311582569,0.0036633895467191157,0.0046776949593543,0.0025265366485481234,0.4066231041666668,0.6958469166666669,0.4381397979166666,1.964296229166666,0.2959778333333333,0.08278166666666666,1.1936781874999995,1.8152151666666676,0.5069353729166667,0.4032199791666666,0.3754024166666667,0.2731507937500001,0.3804850645833333,0.8881976249999998,0.3409691354166666,0.4416413125,2.126271145833333,0.27694145624999994,0.3330196458333334,0.3213925833333333,1.1827682916666666,0.6754812083333332,1.0363357291666666,1.0305902291666669,0.5022772708333334,0.5349911729166666,0.48184375,0.3977296874999999,2.3177880833333333,0.8535442291666667,1.42879058125,0.4950346083333333,1.2233918541666668,1.5634104583333337,1.8727696875,1.3307265833333335,0.6291409791666667,1.1735809583333332,0.7522523749999999,0.5364847291666666,0.5942911875,0.450347625,0.7125131250000001,1.3236474791666666,0.8715123541666671,0.7791228958333333,1.0425143333333329,1.1772679583333334,0.7963598333333333,0.8112912291666663,1.0819397708333336,0.7567892916666666,2.2564141874999994,0.4640992291666666,2.5570718125,0
2a,0.22083758647742224,0.0007931030495807691,0.0007503212687071464,0.0254912350090704,0.010184815311582544,0.003663389546719145,0.004677694959354322,0.002526536648548128,0.23832058037757556,0.6958469166666669,0.4381397979166666,1.964296229166666,0.2959778333333333,0.08278166666666666,1.1936781874999998,1.8152151666666676,0.5069353729166667,0.4032199791666665,0.3754024166666667,0.2731507937500001,0.3804850645833333,0.8881976249999998,0.3409691354166666,0.4416413125,2.126271145833333,0.27694145624999994,0.3330196458333334,0.3213925833333333,1.1827682916666666,0.6754812083333332,1.0363357291666666,1.0305902291666669,0.5022772708333334,0.5349911729166666,0.48184375,0.3977296874999999,2.3177880833333333,0.8535442291666665,1.42879058125,0.4950346083333333,1.2233918541666668,1.5634104583333337,1.8727696875,1.3307265833333335,0.6291409791666667,1.1735809583333332,0.7522523749999999,0.5364847291666666,0.5942911875,0.450347625,0.7125131250000001,1.3236474791666664,0.8715123541666671,0.7791228958333333,1.0425143333333329,1.1772679583333334,0.7963598333333333,0.8112912291666663,1.0819397708333336,0.7567892916666666,2.2564141874999994,0.4640992291666667,2.5570718125,1
